rules\CVE-2012-0158.yar
*syntax Error*
rules\detect_generic_maliciousness_BROAD_SCAN.yar
*syntax Error*
rules\detect_obfuscation.yar
*syntax Error*
rules\detect_phpmailer.yar
No Detect
rules\detect_small_malicios.yar
*syntax Error*
rules\detect_small_uploader.yar
No Detect
rules\detect_webshell.yar
*unicode decode error*
rules\sql_inject_file_upload.yar
No Detect
rules\test.yar
Detect num :  158
Detect :  {'data': 'CMD', 'offset': 520842, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 520989, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 528260, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 528374, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 528999, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 529097, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 545058, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 545162, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 552367, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 553111, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 553205, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 560669, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 560735, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 562006, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 563466, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 569365, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 569406, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 570007, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 570100, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 577294, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 587150, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 587402, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 587802, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 594120, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 594230, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 594571, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 594681, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 595018, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 595128, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 595469, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 595579, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 595916, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 596026, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 596498, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 596608, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 596944, 'identifier': '$a', 'flags': 27}
